Symbol,Name,Sector,Price,Price/Earnings(trades at X times the earnings),52 Week High,52 Week Low,52 Week Avg,P/AA %,  52-Week P/AA % Position,Rating,Action
BAX,Baxter International Inc.,Health Care,62.56,25.12,72.58,48.15,60.365,13.81%,Below 52 Week High ,BETTER,SELL
BBT,BB&T Corporation,Financials,51.07,16.26,55.99,41.17,48.58,8.79%,Below 52 Week High ,BETTER,HOLD
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,78.59,41.67,60.13,12.47%,Below 52 Week High ,BETTER,HOLD
BDX,Becton Dickinson,Health Care,211.44,22.28,248.3888,175.66,212.0244,20.37%,Above 52 Week Low,GOOD,SELL
BEN,Franklin Resources,Financials,38,12.67,47.65,37.01,42.33,2.67%,Above 52 Week Low,BEST,BUY
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,69.9028,45.415,57.6589,9.40%,Below 52 Week High ,BETTER,SELL
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,75,52.751,63.8755,5.10%,Above 52 Week Low,BEST,SELL
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,57.73,28.03,42.88,-1.89%,Below 52 Week Low,CAUTION,SELL
BIIB,Biogen Inc.,Health Care,311.79,14.3,370.57,244.28,307.425,15.86%,Below 52 Week High ,BETTER,BUY
BK,The Bank of New York Mellon Corp.,Financials,53.29,14.76,58.99,44.91,51.95,9.66%,Below 52 Week High ,BETTER,BUY
BLK,BlackRock,Financials,509.38,22.49,594.52,368,481.26,14.32%,Below 52 Week High ,BETTER,SELL
BLL,Ball Corp,Materials,38.44,20.56,43.24,35.6,39.42,7.98%,Above 52 Week Low,BEST,SELL
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,66.1,51.12,58.61,5.16%,Below 52 Week High ,BETTER,SELL
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,217.62,160.93,189.275,12.04%,Below 52 Week High ,BETTER,SELL
BSX,Boston Scientific,Health Care,25.2,20,29.93,23.29,26.61,8.20%,Above 52 Week Low,BEST,SELL
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,58.22,37.54,47.88,10.79%,Below 52 Week High ,BETTER,BUY
BXP,Boston Properties,Real Estate,112.09,18.05,140.13,111.87,126,0.20%,Above 52 Week Low,BETTER,HOLD
C,Citigroup Inc.,Financials,71.87,13.48,80.7,56.14,68.42,10.94%,Below 52 Week High ,BETTER,BUY
CA,"CA, Inc.",Information Technology,32.66,14.32,36.56,30.45,33.505,7.26%,Above 52 Week Low,BEST,BUY
CAG,Conagra Brands,Consumer Staples,35.49,18.2,41.68,32.16,36.92,10.35%,Above 52 Week Low,BEST,HOLD
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,84.88,54.66,69.77,21.90%,Above 52 Week Low,GOOD,BUY
CAT,Caterpillar Inc.,Industrials,145.99,21.22,173.24,90.34,131.79,15.73%,Below 52 Week High ,BETTER,SELL
CB,Chubb Limited,Financials,140.39,17.5,157.5,130.17,143.835,7.85%,Above 52 Week Low,BEST,HOLD
CBG,CBRE Group,Real Estate,41.92,15.82,46.6,30.43,38.515,10.04%,Below 52 Week High ,BETTER,HOLD
CBOE,CBOE Holdings,Financials,111.15,35.06,138.54,76.75,107.645,19.77%,Below 52 Week High ,BETTER,SELL
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,70.095,52.75,61.4225,-1.80%,Below 52 Week Low,CAUTION,BUY
CCI,Crown Castle International Corp.,Real Estate,103.81,21.45,114.97,86.93,100.95,9.71%,Below 52 Week High ,BETTER,SELL
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,72.7,54.75,63.725,8.17%,Below 52 Week High ,BETTER,HOLD
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,46,29.01,37.505,26.92%,Above 52 Week Low,GOOD,SELL
CELG,Celgene Corp.,Health Care,91.02,13.27,147.17,92.85,120.01,-1.97%,Below 52 Week Low,CAUTION,BUY
CERN,Cerner,Health Care,61.22,27.09,73.86,51.2617,62.56085,19.43%,Above 52 Week Low,BEST,SELL
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,43.98,25.04,34.51,14.82%,Below 52 Week High ,BETTER,LOOK
CFG,Citizens Financial Group,Financials,42.19,16.04,48.23,31.51,39.87,12.52%,Below 52 Week High ,BETTER,HOLD
CHD,Church & Dwight,Consumer Staples,47.38,24.42,54.1799,43.21,48.69495,9.65%,Above 52 Week Low,BEST,SELL
CHK,Chesapeake Energy,Energy,2.82,4.7,6.59,2.8,4.695,0.71%,Above 52 Week Low,BETTER,BUY
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,100.18,63.41,81.795,9.69%,Below 52 Week High ,BETTER,SELL
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,408.83,308.3,358.565,13.09%,Above 52 Week Low,BEST,SELL
CI,CIGNA Corp.,Health Care,189.27,18.11,227.13,141.93,184.53,16.67%,Below 52 Week High ,BETTER,HOLD
CINF,Cincinnati Financial,Financials,70.34,27.48,81.98,68.24,75.11,3.08%,Above 52 Week Low,BEST,SELL
CL,Colgate-Palmolive,Consumer Staples,68.95,24.02,77.91,66.26,72.085,4.06%,Above 52 Week Low,BEST,SELL
CLX,The Clorox Company,Consumer Staples,127.76,23.44,150.4,124.09,137.245,2.96%,Above 52 Week Low,BEST,SELL
CMA,Comerica Inc.,Financials,89.18,18.89,98.18,64.04,81.11,9.17%,Below 52 Week High ,BETTER,HOLD
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,18.54,44,34.78,39.39,9.80%,Above 52 Week Low,BEST,HOLD
CME,CME Group Inc.,Financials,153.04,32.15,163,114.8176,138.9088,6.11%,Below 52 Week High ,BETTER,SELL
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,499,263,381,1.14%,Above 52 Week Low,BEST,SELL
CMI,Cummins Inc.,Industrials,165.73,16.83,194.18,143.8301,169.00505,15.23%,Above 52 Week Low,BEST,HOLD
CMS,CMS Energy,Utilities,41.77,21.42,50.85,41.07,45.96,1.70%,Above 52 Week Low,BEST,SELL
CNC,Centene Corporation,Health Care,100.36,19.12,112.42,65.03,88.725,10.73%,Below 52 Week High ,BETTER,HOLD
CNP,CenterPoint Energy,Utilities,25.85,19.73,30.45,25.51,27.98,1.33%,Above 52 Week Low,BEST,HOLD
COF,Capital One Financial,Financials,91.8,11.85,106.5,76.05,91.275,13.80%,Below 52 Week High ,BETTER,BUY
COG,Cabot Oil & Gas,Energy,23.01,60.55,29.57,21.4,25.485,7.52%,Above 52 Week Low,BEST,SELL
COL,Rockwell Collins,Industrials,133.31,22.29,139.63,89.9,114.765,4.53%,Below 52 Week High ,BETTER,SELL
COO,The Cooper Companies,Health Care,223.17,22.96,256.39,187.02,221.705,12.96%,Below 52 Week High ,BETTER,SELL
COP,ConocoPhillips,Energy,53.24,72.93,61.315,42.265,51.79,13.17%,Below 52 Week High ,BETTER,SELL
COST,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,199.88,150,174.94,10.64%,Below 52 Week High ,BETTER,SELL
COTY,"Coty, Inc",Consumer Staples,19.96,24.64,21.175,14.24,17.7075,5.74%,Below 52 Week High ,BETTER,SELL
CPB,Campbell Soup,Consumer Staples,44.83,14.84,64.23,43.5,53.865,3.06%,Above 52 Week Low,BEST,BUY
CRM,Salesforce.com,Information Technology,104.03,520.15,114.52,79.63,97.075,9.16%,Below 52 Week High ,BETTER,SELL
CSCO,Cisco Systems,Information Technology,38.77,17.87,42.98,30.36,36.67,9.80%,Below 52 Week High ,BETTER,HOLD
CSRA,CSRA Inc.,Information Technology,30.85,15.12,33.79,27.38,30.585,8.70%,Below 52 Week High ,BETTER,HOLD
CSX,CSX Corp.,Industrials,50.47,21.94,60.04,45.41,52.725,11.14%,Above 52 Week Low,BEST,SELL
CTAS,Cintas Corporation,Industrials,149.32,32.75,169.96,113.79,141.875,12.14%,Below 52 Week High ,BETTER,SELL
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,27.61,13.161,20.3855,23.09%,Above 52 Week Low,GOOD,BUY
CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,79.28,54.76,67.02,5.20%,Below 52 Week High ,BETTER,SELL
CTXS,Citrix Systems,Information Technology,84.53,20.37,95,73.3346,84.1673,11.02%,Below 52 Week High ,BETTER,SELL
CVS,CVS Health,Consumer Staples,70.55,12.36,84,66.45,75.225,6.17%,Above 52 Week Low,BEST,BUY
CVX,Chevron Corp.,Energy,112.3,27.52,133.88,102.55,118.215,9.51%,Above 52 Week Low,BEST,SELL
CXO,Concho Resources,Energy,140.09,84.39,162.91,106.73,134.82,14.01%,Below 52 Week High ,BETTER,SELL
D,Dominion Energy,Utilities,73.31,20.42,85.3,71.59,78.445,2.40%,Above 52 Week Low,BEST,SELL
DAL,Delta Air Lines Inc.,Industrials,51.23,10.37,60.79,43.81,52.3,16.94%,Above 52 Week Low,BEST,BUY
DE,Deere & Co.,Industrials,153.66,23.14,171.96,106.72,139.34,10.64%,Below 52 Week High ,BETTER,SELL
DFS,Discover Financial Services,Financials,72.4,12.13,81.93,57.5,69.715,11.63%,Below 52 Week High ,BETTER,BUY
DG,Dollar General,Consumer Discretionary,95.1,21.18,105.82,65.97,85.895,10.13%,Below 52 Week High ,BETTER,SELL
DGX,Quest Diagnostics,Health Care,96.42,17.07,112.965,90.1,101.5325,7.01%,Above 52 Week Low,BEST,HOLD
DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,53.32,29.3716,41.3458,16.45%,Below 52 Week High ,BETTER,HOLD
DHR,Danaher Corp.,Health Care,92.16,22.87,104.82,78.97,91.895,12.08%,Below 52 Week High ,BETTER,SELL
DIS,The Walt Disney Company,Consumer Discretionary,101.35,17.78,116.1,96.2,106.15,5.35%,Above 52 Week Low,BEST,HOLD
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,11,30.25,15.99,23.12,43.03%,Above 52 Week Low,CAUTION,BUY
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,10.37,29.18,14.99,22.085,43.96%,Above 52 Week Low,CAUTION,BUY
DISH,Dish Network,Consumer Discretionary,43.77,16.09,66.5,42.48,54.49,3.04%,Above 52 Week Low,BEST,HOLD
DLR,Digital Realty Trust Inc,Real Estate,98.96,16.55,127.23,101.101,114.1655,-2.12%,Below 52 Week Low,CAUTION,HOLD
DLTR,Dollar Tree,Consumer Discretionary,101.58,26.66,116.65,65.63,91.14,12.92%,Below 52 Week High ,BETTER,SELL
DOV,Dover Corp.,Industrials,96.2,23.87,109.06,75.51,92.285,11.79%,Below 52 Week High ,BETTER,SELL
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,26.57,126.65,83.23,104.94,7.67%,Below 52 Week High ,BETTER,SELL
DRE,Duke Realty Corp,Real Estate,24.52,19.77,30.14,24.73,27.435,-0.85%,Below 52 Week Low,CAUTION,HOLD
DRI,Darden Restaurants,Consumer Discretionary,91.33,22.72,100.11,71.7,85.905,8.77%,Below 52 Week High ,BETTER,SELL
DTE,DTE Energy Co.,Utilities,98.49,19.12,116.74,96.56,106.65,2.00%,Above 52 Week Low,BEST,HOLD
DUK,Duke Energy,Utilities,74.32,16.7,91.8,72.93,82.365,1.91%,Above 52 Week Low,BEST,HOLD
DVA,DaVita Inc.,Health Care,71.91,20.55,80.71,52.51,66.61,10.90%,Below 52 Week High ,BETTER,SELL
DVN,Devon Energy Corp.,Energy,34.94,23.93,47.25,28.7947,38.02235,21.34%,Above 52 Week Low,GOOD,SELL
DWDP,DowDuPont,Materials,68.21,49.43,77.08,64.01,70.545,6.56%,Above 52 Week Low,BEST,SELL
DXC,DXC Technology,Information Technology,91.92,79.93,102.95,67.76,85.355,10.71%,Below 52 Week High ,BETTER,SELL
EA,Electronic Arts,Information Technology,116.54,34.48,131.01,81.27,106.14,11.04%,Below 52 Week High ,BETTER,SELL
EBAY,eBay Inc.,Information Technology,41.02,24.86,46.99,31.89,39.44,12.70%,Below 52 Week High ,BETTER,SELL
ECL,Ecolab Inc.,Materials,127.76,28.08,140.5,119.61,130.055,6.81%,Above 52 Week Low,BEST,SELL
ED,Consolidated Edison,Utilities,74.73,18.64,89.7,72.63,81.165,2.89%,Above 52 Week Low,BEST,HOLD
EFX,Equifax Inc.,Industrials,114,19.03,147.02,90.72,118.87,25.66%,Above 52 Week Low,GOOD,HOLD
EIX,Edison Int'l,Utilities,58.07,13.23,83.38,58.76,71.07,-1.17%,Below 52 Week Low,CAUTION,BUY
EL,Estee Lauder Cos.,Consumer Staples,131.46,37.78,138.74,81.69,110.215,5.25%,Below 52 Week High ,BETTER,SELL
EMN,Eastman Chemical,Materials,93.57,12.28,104.08,76.02,90.05,10.10%,Below 52 Week High ,BETTER,BUY
EMR,Emerson Electric Company,Industrials,66.4,25.74,74.45,56.77,65.61,10.81%,Below 52 Week High ,BETTER,SELL
EOG,EOG Resources,Energy,101.04,246.44,119,81.99,100.495,15.09%,Below 52 Week High ,BETTER,SELL
EQIX,Equinix,Real Estate,409.98,23.06,495.345,361.9,428.6225,13.29%,Above 52 Week Low,BEST,SELL
EQR,Equity Residential,Real Estate,55.26,17.6,70.455,56.07,63.2625,-1.44%,Below 52 Week Low,CAUTION,HOLD
EQT,EQT Corporation,Energy,46.25,53.16,67.84,47.13,57.485,-1.87%,Below 52 Week Low,CAUTION,SELL
ES,Eversource Energy,Utilities,56.11,18.22,66.15,55.2,60.675,1.65%,Above 52 Week Low,BEST,HOLD
ESRX,Express Scripts,Health Care,73.35,10.72,83.485,55.8,69.6425,12.14%,Below 52 Week High ,BETTER,BUY
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,18.66,270.04,214.03,242.035,1.99%,Above 52 Week Low,BEST,HOLD
ETFC,E*Trade,Financials,48.48,22.14,56,32.25,44.125,13.43%,Below 52 Week High ,BETTER,SELL
ETN,Eaton Corporation,Industrials,79.41,17.08,89.85,69.45,79.65,14.34%,Above 52 Week Low,BEST,HOLD
ETR,Entergy Corp.,Utilities,72.02,10.65,87.95,69.63,78.79,3.43%,Above 52 Week Low,BEST,BUY
EVHC,Envision Healthcare,Health Care,35.34,10.91,73,23.77,48.385,48.67%,Above 52 Week Low,CAUTION,BUY
EW,Edwards Lifesciences,Health Care,123.78,32.57,138.48,89.2,113.84,10.62%,Below 52 Week High ,BETTER,SELL
EXC,Exelon Corp.,Utilities,35.98,14.51,42.67,33.3,37.985,8.05%,Above 52 Week Low,BEST,BUY
EXPD,Expeditors International,Industrials,60.36,25.26,67.54,51.96,59.75,10.63%,Below 52 Week High ,BETTER,SELL
EXPE,Expedia Inc.,Consumer Discretionary,123.03,30.99,161,115.55,138.275,6.47%,Above 52 Week Low,BEST,SELL
EXR,Extra Space Storage,Real Estate,77.56,18.12,88.56,71.34,79.95,8.72%,Above 52 Week Low,BEST,HOLD
F,Ford Motor,Consumer Discretionary,10.43,5.89,13.48,10.19,11.835,2.36%,Above 52 Week Low,BEST,BUY
FAST,Fastenal Co,Industrials,52.15,27.02,57.815,39.79,48.8025,9.80%,Below 52 Week High ,BETTER,SELL
FB,"Facebook, Inc.",Information Technology,171.58,27.9,195.32,132.44,163.88,12.15%,Below 52 Week High ,BETTER,SELL
FBHS,Fortune Brands Home & Security,Industrials,62.44,20.27,73.62,55.25,64.435,13.01%,Above 52 Week Low,BEST,SELL
FCX,Freeport-McMoRan Inc.,Materials,17.16,14.67,20.25,11.05,15.65,15.26%,Below 52 Week High ,BETTER,BUY
FDX,FedEx Corporation,Industrials,239.27,19.45,274.66,182.89,228.775,12.89%,Below 52 Week High ,BETTER,HOLD
FE,FirstEnergy Corp,Utilities,30.64,11.18,35.22,27.93,31.575,9.70%,Above 52 Week Low,BEST,BUY
FFIV,F5 Networks,Information Technology,137.25,21.21,149.5,114.63,132.065,8.19%,Below 52 Week High ,BETTER,SELL
FIS,Fidelity National Information Services,Information Technology,92.74,22.08,103.65,77.63,90.64,10.53%,Below 52 Week High ,BETTER,SELL
FISV,Fiserv Inc,Information Technology,133.05,27.32,144.2,106.2,125.2,7.73%,Below 52 Week High ,BETTER,SELL
FITB,Fifth Third Bancorp,Financials,31.1,16.9,33.91,23.2,28.555,8.29%,Below 52 Week High ,BETTER,HOLD
FL,Foot Locker Inc,Consumer Discretionary,45.88,9.5,77.86,28.42,53.14,61.44%,Above 52 Week Low,BAD,BUY
FLIR,FLIR Systems,Information Technology,46.46,25.53,52.88,33.75,43.315,12.14%,Below 52 Week High ,BETTER,SELL
FLR,Fluor Corp.,Industrials,55.31,19.9,62.09,37.0351,49.56255,10.92%,Below 52 Week High ,BETTER,HOLD
FLS,Flowserve Corporation,Industrials,40.82,26.17,51.92,37.51,44.715,8.82%,Above 52 Week Low,BEST,SELL
FMC,FMC Corporation,Materials,80.87,32.48,98.7,56.53,77.615,18.06%,Below 52 Week High ,BETTER,SELL
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,34.09,17.57,38.56,24.3,31.43,11.59%,Below 52 Week High ,BETTER,HOLD
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,34.56,17.81,39.135,24.81,31.9725,11.69%,Below 52 Week High ,BETTER,HOLD
FRT,Federal Realty Investment Trust,Real Estate,108.11,18.35,143.79,109.74,126.765,-1.49%,Below 52 Week Low,CAUTION,HOLD
FTI,TechnipFMC,Energy,29.1,18.77,35,24.53,29.765,18.63%,Above 52 Week Low,BEST,HOLD
FTV,Fortive Corp,Industrials,69.14,25.05,76.68,54.8844,65.7822,9.83%,Below 52 Week High ,BETTER,SELL
GD,General Dynamics,Industrials,206.05,20.71,229.54,181.94,205.74,10.23%,Below 52 Week High ,BETTER,SELL
GE,General Electric,Industrials,14.45,13.76,30.59,14.71,22.65,-1.77%,Below 52 Week Low,CAUTION,BUY
GGP,General Growth Properties Inc.,Real Estate,21.62,13.86,25.72,18.83,22.275,14.82%,Above 52 Week Low,BEST,BUY
GILD,Gilead Sciences,Health Care,78.22,8.16,89.54,63.759,76.6495,12.64%,Below 52 Week High ,BETTER,BUY
GIS,General Mills,Consumer Staples,53.99,17.53,63.73,49.65,56.69,8.74%,Above 52 Week Low,BEST,HOLD
GLW,Corning Inc.,Information Technology,28.45,16.45,35.1,26.31,30.705,8.13%,Above 52 Week Low,BEST,HOLD
GM,General Motors,Consumer Discretionary,40.75,6.58,46.76,31.92,39.34,12.85%,Below 52 Week High ,BETTER,BUY
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,1186.89,803.1903,995.04015,15.62%,Below 52 Week High ,BETTER,SELL
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,1198,824.3,1011.15,22.25%,Above 52 Week Low,GOOD,SELL
GPC,Genuine Parts,Consumer Discretionary,96.31,21.17,107.75,79.86,93.805,10.62%,Below 52 Week High ,BETTER,SELL
GPN,Global Payments Inc.,Information Technology,100.59,27.86,113.26,76.47,94.865,11.19%,Below 52 Week High ,BETTER,SELL
GPS,Gap Inc.,Consumer Discretionary,31.17,15.35,35.68,21.02,28.35,12.64%,Below 52 Week High ,BETTER,HOLD
GRMN,Garmin Ltd.,Consumer Discretionary,61.13,21.23,64.96,48.5,56.73,5.90%,Below 52 Week High ,BETTER,SELL
GS,Goldman Sachs Group,Financials,246.35,12.44,273.79,209.62,241.705,10.02%,Below 52 Week High ,BETTER,BUY
GT,Goodyear Tire & Rubber,Consumer Discretionary,30.75,9.92,37.2,28.81,33.005,6.73%,Above 52 Week Low,BEST,BUY
GWW,Grainger (W.W.) Inc.,Industrials,258.6,22.57,298.145,155,226.5725,13.26%,Below 52 Week High ,BETTER,SELL
HAL,Halliburton Co.,Energy,47.41,38.86,57.86,38.181,48.0205,24.17%,Above 52 Week Low,GOOD,SELL
HAS,Hasbro Inc.,Consumer Discretionary,96.48,20.57,116.2,87.92,102.06,9.74%,Above 52 Week Low,BEST,SELL
